ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
79,4,-42.9986126972061,-6.04992879300227,23,721516.513438669,-669131.695477679,17384,332304,721515,-669135,23MQP
80,5,82.3111250577273,68.5565390661526,44,553488.787297798,7605485.22170429,11783,46483,553485,7605495,44WNB
81,1,49.8001975441348,67.2810370272732,39,448292.880577063,7463209.28753308,8277,54560,448305,7463205,39WVQ
82,2,-104.873633309216,43.2444973427491,13,510259.007560892,4787974.14319494,10342,140400,510255,4787985,13TEH
83,6,-126.002453408936,53.5103920677137,09,698759.65839433,5933231.54028494,13291,72225,698745,5933235,09UXV
84,4,-101.270713874635,31.6448243813366,14,284670.742425223,3503307.62206951,2823,186557,284685,3503295,14SKA
85,6,-162.093540828975,68.1093050178512,03,620893.09936923,7557896.89575741,10696,11404,620895,7557885,03WXR
86,5,-79.1626067393133,54.7243917167489,17,618332.884850526,6065671.92061861,13945,107810,618345,6065685,17UPA
87,4,-57.2678935726647,-30.0402159747653,21,474172.661852643,-3323271.84859289,9139,420775,474165,-3323265,21JVG
88,5,104.335966519356,33.0780215236549,48,438022.84768762,3660132.49096437,7934,174663,438015,3660135,48SVB
89,4,-16.7740091324031,15.3576019208459,28,309575.085872721,1698659.91321168,3653,246712,309585,1698645,28PCC
90,5,1.29327426428432,41.3971096208992,31,357324.019387541,4584246.9610177,5244,143859,357315,4584255,31TCF
91,1,37.4168654195915,9.68789896476429,37,326311.563203302,1071309.7030311,4211,264289,326325,1071315,37PCL
92,2,82.8927128909544,52.4873206671643,44,628514.097129774,5816925.66692703,14284,106102,628515,5816925,44UPD
93,3,138.523360962776,-33.0631753683422,54,268778.35347168,-3661018.00195269,2293,405367,268785,-3661005,54HTJ
94,1,85.7915277391346,37.4973106405913,45,393177.145249519,4150728.78982944,6439,164976,393165,4150725,45SUB
95,5,3.91916585709495,46.6199661845604,31,570373.88863961,5163344.0321517,12346,124556,570375,5163345,31TEM
96,1,157.913993798755,65.6952155234999,57,450124.340408491,7286369.38636426,8338,20455,450135,7286355,57WVN
97,1,26.4573646751403,20.0319989284374,35,443248.333468325,2215114.37349797,8108,226162,443235,2215125,35QMC
98,4,35.6265313582628,-1.60570593882946,36,792256.089647043,-177667.024970484,19742,269256,792255,-177675,36MYD
99,2,45.8235554024722,7.26693410692607,38,590912.919374719,803340.326498431,13031,276555,590925,803355,38NNP
100,4,-102.161165692225,41.0845605367137,13,738458.391127481,4552028.07369905,17949,148265,738465,4552035,13TGF
101,3,149.922648323404,-23.8268706271891,55,797749.612941581,-2638128.53879758,19925,374605,797745,-2638125,55KGP
102,3,83.4158864458788,53.2700833459818,44,661103.919200598,5905038.61393181,15370,103165,661095,5905035,44UPE
103,4,77.0988122140704,28.7372937917321,43,704963.734317237,3180686.02293307,16832,193977,704955,3180675,43RGM
104,5,-119.383975501228,36.8495421648011,11,287448.653736046,4080834.59399469,2915,157306,287445,4080825,11SKA
105,5,63.9823479612647,61.2196903550934,41,552762.386696376,6787654.31193717,11759,77078,552765,6787665,41VNH
106,2,20.7879289477815,-20.6206688645597,34,477904.464765966,-2280181.35314071,9264,342674,477915,-2280195,34KDC
107,5,124.88010288684,65.562822090177,51,586779.392170368,7272478.75123368,12893,34252,586785,7272465,51WWN
108,1,47.7755376946261,60.9816301772763,38,650172.864137533,6763922.89395353,15006,77869,650175,6763935,38VPN
109,5,-114.418204160222,47.5780516953685,11,694149.701371597,5272634.27998972,16472,117579,694155,5272635,11TPN
110,5,18.7640577330342,57.7790113288056,34,367036.528717335,6406302.54849769,5568,53124,367035,6406305,34VCK
111,1,23.9217112375945,61.390647736135,34,656042.226804732,6809794.64416698,15202,39674,656055,6809805,34VFP
112,1,130.332578129909,-11.5820384723286,52,645295.015152077,-1280676.22299573,14843,316023,645285,-1280685,52LFN
113,6,53.4012466577121,29.5525765699936,39,732661.739640762,3271614.43572193,17756,194280,732675,3271605,39RYN
114,3,10.2311848707699,6.85403072408087,32,636037.69228736,757786.966647701,14535,228074,636045,757785,32NPN
115,3,-111.342579698392,30.8574857474416,12,467246.63589601,3413858.17267114,8908,179538,467235,3413865,12RVV
116,5,22.124468138036,-12.1779957491179,34,622334.881479237,-1346489.44124514,14078,311550,622335,-1346475,34LFM
117,5,-120.788473474788,38.9141262271013,10,691741.369522345,4309572.25204051,13058,146347,691755,4309575,10SFJ
118,4,67.0997206999058,58.1708356670931,42,388220.54101865,6449305.20790954,6274,88357,388215,6449295,42VUK
119,3,-106.061229867868,46.0194157363258,13,417855.422525754,5096752.15709164,7262,130108,417855,5096745,13TDM
120,4,59.6976436756324,50.5040218462218,40,691290.064710914,5598148.77353273,16377,120063,691305,5598135,40UFB
121,3,38.4642811993339,-12.2816305061818,37,441742.601882017,-1357754.03633711,8058,345258,441735,-1357755,37LDG
122,3,103.643999148033,34.5350369570934,48,375562.639416262,3822317.27850156,5852,169257,375555,3822315,48SUD
123,4,-56.3054009781654,-25.0761977063484,21,570049.603748778,-2773565.01852315,12335,402452,570045,-2773575,21JWN
124,2,13.4824894840948,14.7605497003764,33,336659.424830115,1632393.20878246,4555,245586,336645,1632405,33PUS
125,2,133.811825128779,67.4450983937315,53,449144.002883806,7481486.82689673,8305,33951,449145,7481475,53WMQ
126,1,-102.503102134472,28.1725983971861,13,745152.325788805,3118845.25100248,18172,196038,745155,3118845,13RGM
127,3,46.753965344662,39.3608309698348,38,651109.17843853,4358286.73417603,15037,158057,651105,4358295,38SPJ
128,1,-58.1885265780097,53.4744079658758,21,421116.225498922,5925704.13229684,7371,112476,421125,5925705,21UVV
129,4,-55.5443340773571,-20.6085794147579,21,651688.883643815,-2279507.38069257,15056,385983,651675,-2279505,21KXT
130,5,-83.6532087317198,43.308335813731,16,771432.762704707,4800496.78523978,19048,149983,771435,4800495,16TGP
131,5,97.7252048233039,55.1963869304527,47,418854.334697909,6117386.80315025,7295,99421,418845,6117375,47UMB
132,2,48.9583764499361,53.0685321739549,39,363210.962174455,5881842.6794047,5441,107272,363225,5881845,39UUU
133,1,24.707019032867,-26.7279574504462,35,271920.070320113,-2958357.95830346,2398,398611,271935,-2958345,35JKL
134,6,118.734668625746,62.587756002864,50,589094.267834609,6940856.93904563,12970,51972,589095,6940845,50VNQ
135,2,131.203663527086,-20.8061354637457,52,729361.123470748,-2302259.62982681,17646,350075,729375,-2302245,52KGC
136,3,45.4762160834989,8.12498174284357,38,552463.102552592,898145.632753524,11749,273395,552465,898155,38PNQ
137,1,90.3953400331544,67.5890530943144,45,644395.203427711,7501005.31340083,14813,53300,644385,7501005,45WXR
138,6,-112.911558248534,42.9399965619288,12,344038.381539049,4755924.23711964,4801,134803,344025,4755915,12TUN
139,6,-64.0100953232331,-35.7546329680183,20,408679.824713341,-3957204.60147447,6956,438574,408675,-3957195,20HMF
140,2,69.5887196854021,41.5246651309415,42,549117.633957345,4597169.8231298,11637,150095,549105,4597155,42TWM
141,4,112.692151822745,26.4938063366634,49,668647.198700471,2931482.81825484,15622,195617,668655,2931495,49RFK
142,5,72.7958176104394,62.1038940272041,43,384960.184598666,6887710.15211667,6166,70409,384975,6887715,43VCJ
143,3,116.910193536711,47.9429257120086,50,493293.456179736,5309960.58852387,9777,106335,493305,5309955,50UMU
144,4,67.0398180091928,52.7940355349848,42,367833.216446982,5851160.05264754,5595,108295,367845,5851155,42UUD
145,1,99.3601179258291,10.8127990408767,47,539365.523438769,1195303.87084298,11312,263490,539355,1195305,47PNN
146,2,-9.73730194632338,15.8752242028748,29,421064.271398347,1755272.38714263,7369,244824,421065,1755285,29PMT
147,6,-8.45882299661639,32.5233400669795,29,550824.905104861,3598575.44578749,11694,183381,550815,3598575,29SNS
148,3,9.5885976702408,50.365787283425,32,541862.018197111,5579467.49277972,11396,67351,541875,5579475,32UNA
149,2,144.364998457396,-22.9578357729604,55,229810.49740883,-2541276.75216887,994,371377,229815,-2541285,55KBQ
