,datetime,burst_id,site_id,site_lon,site_lat,vv,vh,vv/vh
49,2021-07-27 14:07:38,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1821075677871704, 0.25702565908432007, 0.12481050938367844, 0.17494766414165497, 0.19375276565551758, 0.15676864981651306, 0.12538614869117737, 0.31611594557762146, 0.09762111306190491]","[0.05547313019633293, 0.09679363667964935, 0.055500149726867676, 0.050918594002723694, 0.04733658954501152, 0.04164990410208702, 0.058367498219013214, 0.07356715947389603, 0.058904364705085754]","[3.282806873321533, 2.655398368835449, 2.2488319873809814, 3.435830593109131, 4.0930867195129395, 3.7639617919921875, 2.1482186317443848, 4.296970844268799, 1.657281517982483]"
50,2021-08-02 14:06:58,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.15516099333763123, 0.19117893278598785, 0.15780708193778992, 0.1397518664598465, 0.16976043581962585, 0.23129981756210327, 0.15928339958190918, 0.2674909234046936, 0.18771864473819733]","[0.05135662108659744, 0.02571093663573265, 0.035693682730197906, 0.051084965467453, 0.055623382329940796, 0.06423885375261307, 0.03225260227918625, 0.06621579825878143, 0.03892359137535095]","[3.0212461948394775, 7.435704708099365, 4.421148777008057, 2.735675096511841, 3.051961660385132, 3.6006217002868652, 4.938621520996094, 4.039684295654297, 4.822747230529785]"
51,2021-08-08 14:07:39,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.09429582953453064, 0.17987103760242462, 0.20330902934074402, 0.14048781991004944, 0.1670500636100769, 0.10609466582536697, 0.12262313812971115, 0.18309658765792847, 0.11318846791982651]","[0.0642780214548111, 0.060351986438035965, 0.030763177201151848, 0.06670656055212021, 0.05684905871748924, 0.030667969956994057, 0.04099605232477188, 0.0899319052696228, 0.03157339245080948]","[1.4669995307922363, 2.9803664684295654, 6.608843803405762, 2.1060569286346436, 2.9384841918945312, 3.4594616889953613, 2.991096258163452, 2.035946846008301, 3.5849320888519287]"
52,2021-08-20 14:07:40,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.16184577345848083, 0.13504907488822937, 0.12778779864311218, 0.12441541999578476, 0.13760684430599213, 0.12227413058280945, 0.08627520501613617, 0.13904857635498047, 0.1767057478427887]","[0.050067588686943054, 0.04922468960285187, 0.04855748638510704, 0.06860111653804779, 0.05370606109499931, 0.034002359956502914, 0.03883834183216095, 0.06784398853778839, 0.04017048329114914]","[3.232545852661133, 2.743523120880127, 2.631680727005005, 1.8136063814163208, 2.5622217655181885, 3.596048355102539, 2.2213926315307617, 2.049534320831299, 4.398895263671875]"
53,2021-08-26 14:06:54,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.13252319395542145, 0.0985335260629654, 0.1976480484008789, 0.17313256859779358, 0.20629236102104187, 0.11169370263814926, 0.12179064750671387, 0.3481808602809906, 0.08574653416872025]","[0.0321442112326622, 0.07140841335058212, 0.028966575860977173, 0.054514847695827484, 0.07907480001449585, 0.07030268758535385, 0.05254213511943817, 0.0868287906050682, 0.04599573463201523]","[4.122770309448242, 1.3798587322235107, 6.823314189910889, 3.1758792400360107, 2.60882568359375, 1.588754415512085, 2.3179614543914795, 4.009970188140869, 1.8642280101776123]"
54,2021-09-01 14:07:40,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1408398449420929, 0.1734951287508011, 0.17585016787052155, 0.20575250685214996, 0.11353491246700287, 0.1258348971605301, 0.15406756103038788, 0.20376236736774445, 0.10797987878322601]","[0.055104248225688934, 0.08458402007818222, 0.029976045712828636, 0.05331884324550629, 0.056983958929777145, 0.030375342816114426, 0.028716804459691048, 0.07704872637987137, 0.051210761070251465]","[2.555880069732666, 2.051157236099243, 5.866356372833252, 3.85890793800354, 1.9924012422561646, 4.142665863037109, 5.3650665283203125, 2.6445910930633545, 2.108538866043091]"
55,2021-09-07 14:06:55,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1538335382938385, 0.1798253059387207, 0.11101745069026947, 0.19895510375499725, 0.18699538707733154, 0.16514013707637787, 0.13455086946487427, 0.2744818925857544, 0.1516253799200058]","[0.044056978076696396, 0.0625990703701973, 0.033582933247089386, 0.06398652493953705, 0.05889906734228134, 0.032235708087682724, 0.03827720135450363, 0.06617652624845505, 0.020887749269604683]","[3.4916951656341553, 2.8726513385772705, 3.305769920349121, 3.109328269958496, 3.17484450340271, 5.122894763946533, 3.515170097351074, 4.1477227210998535, 7.259057998657227]"
56,2021-09-13 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.07503421604633331, 0.18274018168449402, 0.19770772755146027, 0.12968121469020844, 0.17158278822898865, 0.08842001855373383, 0.12997184693813324, 0.08117254823446274, 0.0947967991232872]","[0.029886577278375626, 0.0461437813937664, 0.034204259514808655, 0.027894120663404465, 0.03257304057478905, 0.032770927995443344, 0.05227423459291458, 0.0797843337059021, 0.03486336022615433]","[2.5106325149536133, 3.9602341651916504, 5.780207633972168, 4.649051666259766, 5.267632007598877, 2.6981236934661865, 2.4863462448120117, 1.017399549484253, 2.719095230102539]"
57,2021-09-19 14:06:55,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.18850335478782654, 0.16910748183727264, 0.19773231446743011, 0.19118061661720276, 0.18373307585716248, 0.1740218698978424, 0.11956572532653809, 0.15872612595558167, 0.12292194366455078]","[0.048783764243125916, 0.057986654341220856, 0.06324408948421478, 0.04554841294884682, 0.05121297016739845, 0.0759279727935791, 0.06752084940671921, 0.09792238473892212, 0.038177911192178726]","[3.8640592098236084, 2.9163172245025635, 3.1264946460723877, 4.197305679321289, 3.58762788772583, 2.291933536529541, 1.7707971334457397, 1.6209380626678467, 3.2197136878967285]"
58,2021-09-25 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.17746195197105408, 0.15994682908058167, 0.17013685405254364, 0.09345705062150955, 0.1313605159521103, 0.12811808288097382, 0.20037204027175903, 0.15710896253585815, 0.2048993557691574]","[0.04038282111287117, 0.047203823924064636, 0.02235729992389679, 0.036895785480737686, 0.02962478995323181, 0.04979235306382179, 0.03912273049354553, 0.031223179772496223, 0.04989815130829811]","[4.394491195678711, 3.3884294033050537, 7.6099019050598145, 2.5330007076263428, 4.434141635894775, 2.573047399520874, 5.121627330780029, 5.031805515289307, 4.106351852416992]"
59,2021-10-01 14:06:56,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.2697458267211914, 0.15859082341194153, 0.19881244003772736, 0.11896976083517075, 0.23481442034244537, 0.24826031923294067, 0.10754238069057465, 0.14296042919158936, 0.10548818111419678]","[0.03020413964986801, 0.05790627375245094, 0.03604975715279579, 0.05584345757961273, 0.02585604041814804, 0.028100287541747093, 0.05778071656823158, 0.07825730741024017, 0.026137737557291985]","[8.930756568908691, 2.7387502193450928, 5.5149455070495605, 2.130415439605713, 9.081607818603516, 8.834795951843262, 1.8612157106399536, 1.826799750328064, 4.035857200622559]"
60,2021-10-07 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.22147008776664734, 0.19986121356487274, 0.11678869277238846, 0.18219679594039917, 0.1284623146057129, 0.12696442008018494, 0.09812741726636887, 0.08545480668544769, 0.0768994390964508]","[0.030784770846366882, 0.022579828277230263, 0.024227503687143326, 0.029832934960722923, 0.04459105059504509, 0.018917275592684746, 0.026635335758328438, 0.08352361619472504, 0.042414989322423935]","[7.194144248962402, 8.851316452026367, 4.820500373840332, 6.107236862182617, 2.880898952484131, 6.711559295654297, 3.6841065883636475, 1.0231214761734009, 1.8130251169204712]"
61,2021-10-13 14:06:56,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.20120364427566528, 0.21917374432086945, 0.08725497126579285, 0.2737070620059967, 0.13888637721538544, 0.14573824405670166, 0.14257849752902985, 0.13000847399234772, 0.1366397887468338]","[0.03646097332239151, 0.06228725612163544, 0.03305131569504738, 0.02550155110657215, 0.0385284423828125, 0.02991357073187828, 0.03983420133590698, 0.05100473389029503, 0.027667013928294182]","[5.51832914352417, 3.5187573432922363, 2.6399848461151123, 10.73295783996582, 3.6047751903533936, 4.87197732925415, 3.579298496246338, 2.5489492416381836, 4.938725471496582]"
